ID,Catalog ID,Artist,Title,Label,Genres,Barcodes,Format,Country,Rating,Released,release_id,CollectionFolder,Collection Media Condition,Collection Sleeve Condition,Release Notes,Track List,Images
1,200504,Csepregi Éva,Kek Korszak,Esoncd,Pop,,"CDr, Album",Italy,4,2005,5984655,Uncategorized,Mint (M),Mint (M),,,
2,TAR - 12423,Accademia,Tenerezza / Accademia 4 In Classics,ESonCD,Pop,,"CDr, Comp, Unofficial",Italy,4,2002,8731795,Uncategorized,Mint (M),Mint (M),,,
3,HS 8920 - 2,Sisley Ferré / Attack (2),The Album,Hotsound (2),Pop,,"CDr, Comp, Unofficial",Italy,4,0,9086246,Uncategorized,Mint (M),Mint (M),,,
4,200302-1,Marcella Bella,Problemi,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2003,7476358,Uncategorized,Mint (M),Mint (M),,,
5,200303-1,Marcella Bella,Nell' Aria,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2003,7476451,Uncategorized,Mint (M),Mint (M),,,
6,200306-2,Amii Stewart,Knock On Wood,Italy & C,Pop,,"CDr, Album, RE, Unofficial",Italy,5,2003,9017682,Uncategorized,Mint (M),Mint (M),,,
7,200307-2,Amii Stewart,Paradise Bird,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2003,9017790,Uncategorized,Mint (M),Mint (M),,,
8,200308-2,Rose Laurens,Rose Laurens,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2017,10815829,Uncategorized,Mint (M),Mint (M),,,
9,200401-1,Pupo,Gelato Al Cioccolato,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2004,7641587,Uncategorized,Mint (M),Mint (M),,,
10,200402-1,Pupo,Piu Di Prima,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2004,7641630,Uncategorized,Mint (M),Mint (M),,,
11,200403-1,Pupo,Lo Devo Solo A Te,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2004,7641661,Uncategorized,Mint (M),Mint (M),,,
12,200404-2,Adriano Celentano,Cinema,Italy & C,Pop,,"CDr, Comp, Unofficial",Italy,5,2004,7484237,Uncategorized,Mint (M),Mint (M),,,
13,200405-3,Adriano Celentano & Claudia Mori,Storia D'Amore,Italy & C,Pop,,"CDr, Album, Comp, Unofficial",Italy,5,2004,7484379,Uncategorized,,,,,
14,200501-3,Claudia Mori,Chiudi La Porta,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2005,7617444,Uncategorized,Mint (M),Mint (M),,,
15,200502-2,Pino D'Angiò,Ti Regalo Della Musica,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2005,7555821,Uncategorized,Mint (M),Mint (M),,,
16,200503-2,Pino D'Angiò,Una Notte Maledetta,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2005,7555857,Uncategorized,Mint (M),Mint (M),,,
17,200505-3,Iva Zanicchi,Iva Zanicchi,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2005,7653841,Uncategorized,Mint (M),Mint (M),,,
18,200601-1,Laid Back,Laid Back,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2006,7564228,Uncategorized,Mint (M),Mint (M),,,
19,200602-3,Cashmere,Cashmere,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2006,7390851,Uncategorized,Mint (M),Mint (M),,,
20,200801-2,Daniele Pace,Vitamina C,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2008,7448180,Uncategorized,Mint (M),Mint (M),,,
21,200902-2,Alec R. Costandinos,Romeo & Juiet,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2009,7539036,Uncategorized,,,,,
22,200903-2,Pino D'Angiò,Sunshine Blue,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2009,7557644,Uncategorized,Mint (M),Mint (M),,,
23,201002-1,Theo Vaness,Back To Music,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2010,7534419,Uncategorized,Mint (M),Mint (M),,,
24,201003-1,HOT R.S.,The House Of The Rising Sun,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2010,7571885,Uncategorized,Mint (M),Mint (M),,,
25,201004-1,HOT R.S.,Forbidden Fruit,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2010,7571907,Uncategorized,Mint (M),Mint (M),,,
26,201005-2,HOT R.S.,Heads Or Tails,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2010,7571918,Uncategorized,Mint (M),Mint (M),,,
27,201006-1,Passengers (2),Casino',Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2010,7564083,Uncategorized,Mint (M),Mint (M),,,
28,201007-1,Precious Wilson & La Mama,Funky Fingers,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2010,7592435,Uncategorized,Mint (M),Mint (M),,,
29,201008-1,Azoto,Music Makers Ltd,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2010,7534860,Uncategorized,Mint (M),Mint (M),,,
30,201009-3,Azoto,Disco Fizz,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2010,7534794,Uncategorized,Mint (M),Mint (M),,,
31,201010-3,Madleen Kane,Cheri,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2010,7608543,Uncategorized,Mint (M),Mint (M),,,
32,201102-2,Ottawan,D.I.S.C.O.,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2011,7564124,Uncategorized,Mint (M),Mint (M),,,
33,201103-2,Ottawan,Ottawan 2,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2011,7564175,Uncategorized,Mint (M),Mint (M),,,
34,201104-2,Collage (11),Due Ragazzi Nel Sole,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2011,7571951,Uncategorized,Mint (M),Mint (M),,,
35,201105-2,Pupo,Cieli Azzurri,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2011,7641694,Uncategorized,Mint (M),Mint (M),,,
36,201106-1,Pupo,Malattia D'Amore,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2011,7641706,Uncategorized,Mint (M),Mint (M),,,
37,201107-1,Pupo,Change Generation,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2011,7641734,Uncategorized,Mint (M),Mint (M),,,
38,201108-1,5000 Volts,I'm On Fire - Love Cloud,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2011,7484079,Uncategorized,Mint (M),Mint (M),,,
39,201110-1,Pink Project,Domino,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2011,7617204,Uncategorized,Mint (M),Mint (M),,,
40,201111-1,Pink Project,Split,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2011,7617272,Uncategorized,Mint (M),Mint (M),,,
41,201201-1,Don Ray,The Garden Of Love,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2012,7571933,Uncategorized,Mint (M),Mint (M),,,
42,201202-1,Paris Connection,Paris Connection,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2012,7557706,Uncategorized,Mint (M),Mint (M),,,
43,201203-1,Theo Vaness,Bad Bad Boy,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2012,7534351,Uncategorized,Mint (M),Mint (M),,,
44,201204-1,The Z.A.C.K.,Disco Cosmix (Zackrioch),Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2012,7553748,Uncategorized,Mint (M),Mint (M),,,
45,201206-1,Madleen Kane,Rough Diamond,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2012,7555913,Uncategorized,Mint (M),Mint (M),,,
46,201301-2,Cristina (9),Contremano,Italy & C,Pop,,"CDr, Album, Unofficial",Italy,5,2013,7713203,Uncategorized,Mint (M),Mint (M),,,
